record_id,launch_priority,should_publish,confidence,brand,part_type,part_subtype,primary_part_number,alt_part_numbers,oem_equivalent,product_name,compatible_models_text,track_sizes,chassis_mount_notes,serial_notes,position_notes,suggested_price_usd,source_tier,source_files,source_urls,verification_notes,seo_title,seo_h1,meta_description,slug,page_template
UP-0054,2,YES,High,John Deere,roller,bottom,4357785,,4357785,John Deere 50C bottom rollers,50C,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",John Deere Bottom Roller 4357785 for John Deere 50C,John Deere Bottom Roller 4357785 for John Deere 50C,In-stock John Deere Bottom Roller 4357785 for John Deere 50C. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,john-deere-4357785-bottom-roller,Undercarriage part detail + machine fitment
UP-0051,2,YES,High,John Deere,roller,bottom,4640798,,4640798,John Deere 17D bottom rollers,17D,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",John Deere Bottom Roller 4640798 for John Deere 17D,John Deere Bottom Roller 4640798 for John Deere 17D,In-stock John Deere Bottom Roller 4640798 for John Deere 17D. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,john-deere-4640798-bottom-roller,Undercarriage part detail + machine fitment
UP-0053,2,YES,High,John Deere,roller,bottom,9237937,,9237937,"John Deere 27D, 35D bottom rollers","27D, 35D",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",John Deere Bottom Roller 9237937 for John Deere 27D,John Deere Bottom Roller 9237937 for John Deere 27D,In-stock John Deere Bottom Roller 9237937 for John Deere 27D. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,john-deere-9237937-bottom-roller,Undercarriage part detail + machine fitment
UP-0055,2,YES,High,John Deere,roller,bottom,9239528,,9239528,John Deere 50D bottom rollers,50D,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",John Deere Bottom Roller 9239528 for John Deere 50D,John Deere Bottom Roller 9239528 for John Deere 50D,In-stock John Deere Bottom Roller 9239528 for John Deere 50D. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,john-deere-9239528-bottom-roller,Undercarriage part detail + machine fitment
UP-0050,2,YES,High,John Deere,roller,bottom,AT336091,,AT336091,"John Deere CT322, CT332, 323, 333 bottom rollers","CT322, CT332, 323, 333",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",John Deere Bottom Roller AT336091 for John Deere CT322,John Deere Bottom Roller AT336091 for John Deere CT322,In-stock John Deere Bottom Roller AT336091 for John Deere CT322. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by par,john-deere-at336091-bottom-roller,Undercarriage part detail + machine fitment
UP-0064,2,YES,High,Kubota,roller,bottom,RB238-21700,,RB238-21700,Kubota KX018-4 bottom roller (alternate supplier),KX018-4,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://rubbertrack.com/undercarriage-parts/mini-excavators/kubota/kx018-4/kubota-kx018-4-bottom-roller-pn-rb238-21700/,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Kubota Bottom Roller RB238-21700 for Kubota KX018-4,Kubota Bottom Roller RB238-21700 for Kubota KX018-4,In-stock Kubota Bottom Roller RB238-21700 for Kubota KX018-4. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,kubota-rb238-21700-bottom-roller,Undercarriage part detail + machine fitment
UP-0057,2,YES,High,Kubota,roller,bottom,RB511-21702,,RB511-21702,Kubota KX71-3 and KX91-3 bottom rollers,"KX71-3, KX91-3 | KX91-3, KX71-3, U35-3",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims. | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.",Kubota Bottom Roller RB511-21702 for Kubota KX71-3,Kubota Bottom Roller RB511-21702 for Kubota KX71-3,In-stock Kubota Bottom Roller RB511-21702 for Kubota KX71-3. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part nu,kubota-rb511-21702-bottom-roller,Undercarriage part detail + machine fitment
UP-0056,2,YES,High,Kubota,roller,bottom,RC101-21803,,RC101-21803,Kubota KX 121-2 Bottom Track Roller,KX61-2 | KX 121-2,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims. | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.",Kubota Bottom Roller RC101-21803 for Kubota KX61-2 | KX 121-2,Kubota Bottom Roller RC101-21803 for Kubota KX61-2 | KX 121-2,In-stock Kubota Bottom Roller RC101-21803 for Kubota KX61-2 | KX 121-2. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment,kubota-rc101-21803-bottom-roller,Undercarriage part detail + machine fitment
UP-0058,2,YES,High,Kubota,roller,bottom,RD101-99900,,RD101-99900,Kubota KX121-2 bottom rollers,KX121-2,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Kubota Bottom Roller RD101-99900 for Kubota KX121-2,Kubota Bottom Roller RD101-99900 for Kubota KX121-2,In-stock Kubota Bottom Roller RD101-99900 for Kubota KX121-2. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,kubota-rd101-99900-bottom-roller,Undercarriage part detail + machine fitment
UP-0059,2,YES,High,Kubota,roller,bottom,RD118-21700,,RD118-21700,Kubota KX121-3 KX040-4 Lower Track Roller,"KX121-3 | KX121-3, KX040-4",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims. | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.",Kubota Bottom Roller RD118-21700 for Kubota KX121-3 | KX121-3,Kubota Bottom Roller RD118-21700 for Kubota KX121-3 | KX121-3,In-stock Kubota Bottom Roller RD118-21700 for Kubota KX121-3 | KX121-3. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment,kubota-rd118-21700-bottom-roller,Undercarriage part detail + machine fitment
UP-0060,2,YES,High,Kubota,roller,bottom,RD201-21700,,RD201-21700,Kubota KX161-2 bottom rollers,KX161-2,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Kubota Bottom Roller RD201-21700 for Kubota KX161-2,Kubota Bottom Roller RD201-21700 for Kubota KX161-2,In-stock Kubota Bottom Roller RD201-21700 for Kubota KX161-2. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,kubota-rd201-21700-bottom-roller,Undercarriage part detail + machine fitment
UP-0061,2,YES,High,Kubota,roller,bottom,RD411-21700,,RD411-21700,Kubota KX 161-3 U-45-3 Lower Roller,"KX161-3 | KX 161-3, U-45-3",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims. | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.",Kubota Bottom Roller RD411-21700 for Kubota KX161-3 | KX 161-3,Kubota Bottom Roller RD411-21700 for Kubota KX161-3 | KX 161-3,In-stock Kubota Bottom Roller RD411-21700 for Kubota KX161-3 | KX 161-3. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitmen,kubota-rd411-21700-bottom-roller,Undercarriage part detail + machine fitment
UP-0065,2,YES,High,Kubota,roller,bottom,RD411-21703,,RD411-21703,Kubota KX057-4 and U35-4 bottom rollers,"KX057-4, U35-4",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://rubbertrack.com/undercarriage-parts/mini-excavators/kubota/kx057-4/kubota-kx057-4-bottom-roller-pn-rd411-21703/,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Kubota Bottom Roller RD411-21703 for Kubota KX057-4,Kubota Bottom Roller RD411-21703 for Kubota KX057-4,In-stock Kubota Bottom Roller RD411-21703 for Kubota KX057-4. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,kubota-rd411-21703-bottom-roller,Undercarriage part detail + machine fitment
UP-0062,2,YES,High,Kubota,roller,bottom,RD809-21703,,RD809-21703,"Kubota KX080-3, KX080-3T, KX080-4, KX080-5 bottom rollers","KX080-3, KX080-3T, KX080-4, KX080-5",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Kubota-KX-080-3-080-4-Bottom-Track-Roller-p737.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Kubota Bottom Roller RD809-21703 for Kubota KX080-3,Kubota Bottom Roller RD809-21703 for Kubota KX080-3,In-stock Kubota Bottom Roller RD809-21703 for Kubota KX080-3. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,kubota-rd809-21703-bottom-roller,Undercarriage part detail + machine fitment
UP-0063,2,YES,High,Kubota,roller,bottom,RG158-21700,,RG158-21700,"Kubota KX018-4, KX019-4 bottom rollers","KX018-4, KX019-4",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,https://store.rubbertrax.com/Kubota-KX018-4-KX019-4-Bottom-Rollers-p245.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims. | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.",Kubota Bottom Roller RG158-21700 for Kubota KX018-4,Kubota Bottom Roller RG158-21700 for Kubota KX018-4,In-stock Kubota Bottom Roller RG158-21700 for Kubota KX018-4. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,kubota-rg158-21700-bottom-roller,Undercarriage part detail + machine fitment
UP-0086,2,YES,High,Kubota,sprocket,drive,68621-14430,,68621-14430,"Kubota KX91-2, KX91-2SS drive sprocket","KX91-2, KX91-2SS | KX 91-2",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,https://store.rubbertrax.com/Kubota-KX-91-2-Sprocket-68621-14430-p58.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims. | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.",Kubota Drive Sprocket 68621-14430 for Kubota KX91-2,Kubota Drive Sprocket 68621-14430 for Kubota KX91-2,In-stock Kubota Drive Sprocket 68621-14430 for Kubota KX91-2. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,kubota-68621-14430-drive-sprocket,Undercarriage part detail + machine fitment
UP-0085,2,YES,High,Kubota,sprocket,drive,RC788-14430,RC417-14430|RB511-14432,RC788-14430,"Kubota U35, U35S2, U35-4, KX71-3, KX91-3, U25 drive sprocket","U35, U35S2, U35-4, KX71-3, KX91-3, U25 | U-35-4",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,https://store.rubbertrax.com/Kubota-U-35-4-Sprockets-RC788-14430-p226.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims. | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.",Kubota Drive Sprocket RC788-14430 for Kubota U35,Kubota Drive Sprocket RC788-14430 for Kubota U35,In-stock Kubota Drive Sprocket RC788-14430 for Kubota U35. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part numb,kubota-rc788-14430-drive-sprocket,Undercarriage part detail + machine fitment
UP-0084,2,YES,High,Kubota,sprocket,drive,RD809-14433,RD809-14440,RD809-14433,"Kubota KX080-3, KX080-4 mini excavator drive sprocket","KX080-3, KX080-4",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Kubota-KX-080-3-KX-080-4-Drive-Sprocket-p760.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Kubota Drive Sprocket RD809-14433 for Kubota KX080-3,Kubota Drive Sprocket RD809-14433 for Kubota KX080-3,In-stock Kubota Drive Sprocket RD809-14433 for Kubota KX080-3. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part ,kubota-rd809-14433-drive-sprocket,Undercarriage part detail + machine fitment
UP-0069,2,YES,High,Takeuchi,roller,bottom,03313-06100,03313-07100,03313-06100,"Takeuchi TB014, TB015, TB016 bottom rollers (rubber track)","TB014, TB015, TB016",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Takeuchi-TB015-Mini-Excavator-c406.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Bottom Roller 03313-06100 for Takeuchi TB014,Takeuchi Bottom Roller 03313-06100 for Takeuchi TB014,In-stock Takeuchi Bottom Roller 03313-06100 for Takeuchi TB014. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part,takeuchi-03313-06100-bottom-roller,Undercarriage part detail + machine fitment
UP-0071,2,YES,High,Takeuchi,roller,bottom,03913-02100,,03913-02100,"Takeuchi TB145, TB153 bottom rollers","TB145, TB153",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Bottom Roller 03913-02100 for Takeuchi TB145,Takeuchi Bottom Roller 03913-02100 for Takeuchi TB145,In-stock Takeuchi Bottom Roller 03913-02100 for Takeuchi TB145. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part,takeuchi-03913-02100-bottom-roller,Undercarriage part detail + machine fitment
UP-0070,2,YES,High,Takeuchi,roller,bottom,04313-00500,,04313-00500,"Takeuchi TB025, TB035 bottom rollers","TB025, TB035",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Bottom Roller 04313-00500 for Takeuchi TB025,Takeuchi Bottom Roller 04313-00500 for Takeuchi TB025,In-stock Takeuchi Bottom Roller 04313-00500 for Takeuchi TB025. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part,takeuchi-04313-00500-bottom-roller,Undercarriage part detail + machine fitment
UP-0072,2,YES,High,Takeuchi,roller,bottom,04313-11000,,04313-11000,"Takeuchi TB135, TB228 bottom rollers","TB135, TB228",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Bottom Roller 04313-11000 for Takeuchi TB135,Takeuchi Bottom Roller 04313-11000 for Takeuchi TB135,In-stock Takeuchi Bottom Roller 04313-11000 for Takeuchi TB135. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part,takeuchi-04313-11000-bottom-roller,Undercarriage part detail + machine fitment
UP-0074,2,YES,High,Takeuchi,roller,bottom,05613-07100,,05613-07100,Takeuchi TB175 bottom rollers,TB175,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Bottom Roller 05613-07100 for Takeuchi TB175,Takeuchi Bottom Roller 05613-07100 for Takeuchi TB175,In-stock Takeuchi Bottom Roller 05613-07100 for Takeuchi TB175. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part,takeuchi-05613-07100-bottom-roller,Undercarriage part detail + machine fitment
UP-0073,2,YES,High,Takeuchi,roller,bottom,05613-11100,,05613-11100,"Takeuchi TB280FR, TB285, TB290 bottom rollers","TB280FR, TB285, TB290",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Takeuchi-TB290-Bottom-Rollers-p4762.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Bottom Roller 05613-11100 for Takeuchi TB280FR,Takeuchi Bottom Roller 05613-11100 for Takeuchi TB280FR,In-stock Takeuchi Bottom Roller 05613-11100 for Takeuchi TB280FR. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by pa,takeuchi-05613-11100-bottom-roller,Undercarriage part detail + machine fitment
UP-0068,2,YES,High,Takeuchi,roller,bottom,06813-00038,,06813-00038,Takeuchi TL10-V2 bottom roller,TL10-V2,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Bottom Roller 06813-00038 for Takeuchi TL10-V2,Takeuchi Bottom Roller 06813-00038 for Takeuchi TL10-V2,In-stock Takeuchi Bottom Roller 06813-00038 for Takeuchi TL10-V2. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by pa,takeuchi-06813-00038-bottom-roller,Undercarriage part detail + machine fitment
UP-0066,2,YES,High,Takeuchi,roller,bottom,880130000,,880130000,"Takeuchi TL130, TL8 bottom rollers","TL130, TL8",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Bottom Roller 880130000 for Takeuchi TL130,Takeuchi Bottom Roller 880130000 for Takeuchi TL130,In-stock Takeuchi Bottom Roller 880130000 for Takeuchi TL130. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,takeuchi-880130000-bottom-roller,Undercarriage part detail + machine fitment
UP-0067,2,YES,High,Takeuchi,roller,bottom,881130500,,881130500,"Takeuchi TL140, TL240, TL10, TL150, TL250, TL12 bottom rollers","TL140, TL240, TL10, TL150, TL250, TL12",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://www.rubbertrax.com/rollers,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Bottom Roller 881130500 for Takeuchi TL140,Takeuchi Bottom Roller 881130500 for Takeuchi TL140,In-stock Takeuchi Bottom Roller 881130500 for Takeuchi TL140. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part n,takeuchi-881130500-bottom-roller,Undercarriage part detail + machine fitment
UP-0087,2,YES,High,Takeuchi,sprocket,drive,03516-08210,,03516-08210,"Takeuchi TB228, TB240 drive sprocket","TB228, TB240",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Takeuchi-TB228-TB240-Sprocket-p755.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Drive Sprocket 03516-08210 for Takeuchi TB228,Takeuchi Drive Sprocket 03516-08210 for Takeuchi TB228,In-stock Takeuchi Drive Sprocket 03516-08210 for Takeuchi TB228. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by par,takeuchi-03516-08210-drive-sprocket,Undercarriage part detail + machine fitment
UP-0088,2,YES,High,Takeuchi,sprocket,drive,05516-00120,,05516-00120,"Takeuchi TB370, TB250-2, TB260 drive sprocket","TB370, TB250-2, TB260",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx,https://store.rubbertrax.com/Takeuchi-TB250-2-TB260-Sprocket-05516-00120-50p4746.htm,"Sales-team researched. Verify fine details such as serial split, chassis mount, flange style before using hard fitment claims.",Takeuchi Drive Sprocket 05516-00120 for Takeuchi TB370,Takeuchi Drive Sprocket 05516-00120 for Takeuchi TB370,In-stock Takeuchi Drive Sprocket 05516-00120 for Takeuchi TB370. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by par,takeuchi-05516-00120-drive-sprocket,Undercarriage part detail + machine fitment
UP-0093,2,YES,Medium,CAT,idler,front,127-3809,,127-3809,Fits: Caterpillar E70 E70B Front Idler,"E70, E70B",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,,Imported from existing Emergent admin list | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.,CAT Front Idler 127-3809 for CAT E70,CAT Front Idler 127-3809 for CAT E70,"In-stock CAT Front Idler 127-3809 for CAT E70. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machine ",cat-127-3809-front-idler,Undercarriage part detail + machine fitment
UP-0096,2,YES,Medium,CAT,idler,front,158-4970,,158-4970,Fits: Caterpillar 301.5 301.6 301.8 Tension Idler,"301.5, 301.6, 301.8",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,,Imported from existing Emergent admin list | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.,CAT Front Idler 158-4970 for CAT 301.5,CAT Front Idler 158-4970 for CAT 301.5,"In-stock CAT Front Idler 158-4970 for CAT 301.5. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machin",cat-158-4970-front-idler,Undercarriage part detail + machine fitment
UP-0099,2,YES,Medium,CAT,idler,front,233-7150,,233-7150,Fits: Caterpillar 302.5 Front Idler,302.5,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,,Imported from existing Emergent admin list | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.,CAT Front Idler 233-7150 for CAT 302.5,CAT Front Idler 233-7150 for CAT 302.5,"In-stock CAT Front Idler 233-7150 for CAT 302.5. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machin",cat-233-7150-front-idler,Undercarriage part detail + machine fitment
UP-0102,2,YES,Medium,CAT,idler,front,267-1391,,267-1391,Fits: Caterpillar 303.5 303CR Idler Assembly,"303.5, 303CR",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,,Imported from existing Emergent admin list | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.,CAT Front Idler 267-1391 for CAT 303.5,CAT Front Idler 267-1391 for CAT 303.5,"In-stock CAT Front Idler 267-1391 for CAT 303.5. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machin",cat-267-1391-front-idler,Undercarriage part detail + machine fitment
UP-0107,2,YES,Medium,CAT,idler,front,285-2069,,285-2069,Fits: Caterpillar 304CR 305CR Front Idler,"304CR, 305CR",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,,Imported from existing Emergent admin list | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.,CAT Front Idler 285-2069 for CAT 304CR,CAT Front Idler 285-2069 for CAT 304CR,"In-stock CAT Front Idler 285-2069 for CAT 304CR. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machin",cat-285-2069-front-idler,Undercarriage part detail + machine fitment
UP-0110,2,YES,Medium,CAT,idler,front,293-8674,,293-8674,Fits: Caterpillar 303CCR 303ECR Tension Idler,"303CCR, 303ECR",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,,Imported from existing Emergent admin list | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.,CAT Front Idler 293-8674 for CAT 303CCR,CAT Front Idler 293-8674 for CAT 303CCR,"In-stock CAT Front Idler 293-8674 for CAT 303CCR. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machi",cat-293-8674-front-idler,Undercarriage part detail + machine fitment
UP-0113,2,YES,Medium,CAT,idler,front,296-5831,,296-5831,Fits: Caterpillar 302.5C Front Idler,302.5C,,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,,Imported from existing Emergent admin list | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.,CAT Front Idler 296-5831 for CAT 302.5C,CAT Front Idler 296-5831 for CAT 302.5C,"In-stock CAT Front Idler 296-5831 for CAT 302.5C. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machi",cat-296-5831-front-idler,Undercarriage part detail + machine fitment
UP-0117,2,YES,Medium,CAT,idler,front,305-2880,,305-2880,Fits: Caterpillar 304DCR 305DCR Idler,"304DCR, 305DCR",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,,Imported from existing Emergent admin list | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.,CAT Front Idler 305-2880 for CAT 304DCR,CAT Front Idler 305-2880 for CAT 304DCR,"In-stock CAT Front Idler 305-2880 for CAT 304DCR. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machi",cat-305-2880-front-idler,Undercarriage part detail + machine fitment
UP-0120,2,YES,Medium,CAT,idler,front,311-7742,,311-7742,Fits: Caterpillar 305.5 305.5D Tension Idler,"305.5, 305.5D",,,,,,Tier 2 - Sales-team researched master,undercarriage_bottom_rollers_sprockets_master_v3.xlsx | part_numbers_on emergent.csv,,Imported from existing Emergent admin list | Emergent scrape. Use only after checking against source/manufacturer or after matching with Tier 1/Tier 2 records.,CAT Front Idler 311-7742 for CAT 305.5,CAT Front Idler 311-7742 for CAT 305.5,"In-stock CAT Front Idler 311-7742 for CAT 305.5. Wholesale undercarriage parts from Houston with nationwide shipping. Verify fitment by part number, machin",cat-311-7742-front-idler,Undercarriage part detail + machine fitment
